,ID,cidade,estado,lat,long
77,784,San Diego,CA,32.7199,-117.1805
78,786,Chula Vista,CA,32.6403,-117.0834
79,795,Anahiem,CA,32.7199,-117.1805
80,802,Warner Springs (near),CA,32.7199,-117.1805
81,806,Anaheim,CA,33.8478,-117.9573
82,817,San Francisco,CA,37.77,-122.41
83,821,Montrose,CA,34.2119,-118.2301
84,827,Stanton,CA,33.7952,-117.9983
85,833,Yreka,CA,41.754,-122.6742
86,834,Los Angeles,CA,33.9736,-118.2479
87,846,Montebello,CA,34.0079,-118.1075
88,869,Corona,CA,33.8754,-117.5659
89,870,Suisun City,CA,38.1556,-121.9451
90,898,Los Angeles,CA,33.9736,-118.2479
91,914,Eagle Rock,CA,32.7199,-117.1805
92,920,Cloverdale,CA,38.7788,-123.0436
93,937,Calistoga,CA,38.6184,-122.5855
94,943,Friant,CA,37.0618,-119.6488
95,944,Friant,CA,37.0618,-119.6488
96,955,Sonoma (Fetters Hot Springs),CA,32.7199,-117.1805
97,956,Sonoma,CA,38.2455,-122.4621
98,1002,Seaside,CA,36.6398,-121.8222
99,1007,Palm Springs,CA,33.8668,-116.5833
100,1014,Lincoln,CA,38.9315,-121.3234
101,1026,Korbel,CA,40.7373,-123.7986
102,1029,Long Beach,CA,33.7668,-118.1886
103,1056,North Hollywood,CA,34.1685,-118.3698
104,1066,Sacramento,CA,38.5819,-121.4935
105,1068,Dana Point,CA,33.478,-117.7059
106,1072,Pomona,CA,34.039,-117.7608
107,1084,Tujunga,CA,34.2801,-118.2352
108,1085,San Diego,CA,32.7199,-117.1805
109,1091,San Dimas,CA,34.1154,-117.813
110,1120,Folsom,CA,38.6645,-121.145
111,1126,Yosemite National Park,CA,37.748,-119.5236
112,1139,San Diego,CA,32.7199,-117.1805
113,1145,Fairfield,CA,38.2802,-122.0202
114,1151,Berry Creek,CA,39.7039,-121.3453
115,1152,San Diego,CA,32.7199,-117.1805
116,1164,Chula Vista,CA,32.6403,-117.0834
117,1165,Visalia,CA,36.2947,-119.3813
118,1177,Los Angeles,CA,33.9736,-118.2479
119,1184,Murrieta,CA,33.5428,-117.269
120,1190,Ukiah,CA,39.131,-123.2441
121,1207,San Leandro,CA,37.7159,-122.161
122,1241,Anderson,CA,40.4506,-122.3164
123,1242,Long Beach,CA,33.7668,-118.1886
124,1243,Redding,CA,40.6247,-122.4659
125,1244,Half Moon Bay,CA,37.473,-122.4111
126,1251,Pleasanton,CA,37.6453,-121.8497
127,1259,Anaheim,CA,33.8478,-117.9573
128,1302,Borrego Springs,CA,33.1506,-116.3496
129,1303,Kings Beach,CA,39.2693,-120.0434
130,1319,Palo Alto,CA,37.443,-122.1512
131,1337,Fullerton,CA,33.8768,-117.8931
132,1377,Sacramento,CA,38.5819,-121.4935
133,1383,Riverside,CA,33.9943,-117.3778
134,1401,Malibu,CA,34.0399,-118.7077
135,1404,Delano,CA,35.7226,-119.1521
136,1407,Carlsbad,CA,33.1508,-117.3133
137,1413,San Diego,CA,32.7199,-117.1805
138,1414,Oakland,CA,37.777,-122.2159
139,1415,Oakland,CA,37.777,-122.2159
140,1417,Corona,CA,33.8754,-117.5659
141,1428,San Clemente,CA,33.3929,-117.5296
142,1429,San Clemente,CA,33.3929,-117.5296
143,1449,Fontana,CA,34.06,-117.44
144,1451,Redondo Beach,CA,33.8308,-118.3875
145,1454,Elk Grove,CA,38.443,-121.2993
146,1463,Castro Valley,CA,37.7483,-122.1163
147,1468,Los Gatos Mountains,CA,32.7199,-117.1805
148,1469,Madera,CA,36.9768,-119.8701
149,1473,Landers,CA,34.4589,-116.5293
150,1474,Landers,CA,34.4589,-116.5293
151,1475,Landers (Yucca Valley),CA,32.7199,-117.1805
152,1476,Landers,CA,34.4589,-116.5293
153,1478,Landers,CA,34.4589,-116.5293
154,1479,Sacramento,CA,38.5819,-121.4935
155,1481,Long Beach,CA,33.7668,-118.1886
156,1486,Pleasant Hill,CA,37.9538,-122.0778
157,1491,Long Beach,CA,33.7668,-118.1886
158,1492,Goleta,CA,34.4356,-119.8269
159,1493,San Bernardino,CA,34.104,-117.2925
160,1508,san jose,CA,32.7199,-117.1805
161,1510,Santa Rosa,CA,38.4534,-122.7814
162,1534,Roseville,CA,38.7439,-121.2587
163,1549,San Jose,CA,37.3435,-121.8887
164,1563,Long Beach,CA,33.7668,-118.1886
165,1583,Los Angeles,CA,33.9736,-118.2479
166,1598,Richmond,CA,37.9582,-122.3799
167,1611,Salinas,CA,36.6603,-121.6498
168,1619,Joshua Tree,CA,34.1493,-116.2821
169,1626,((Location no revealed by witness)),CA,32.7199,-117.1805
170,1641,West Covina,CA,34.0701,-117.9419
171,1662,Los Angeles,CA,33.9736,-118.2479
172,1683,San Francisco,CA,37.77,-122.41
173,1685,Corona,CA,33.8754,-117.5659
174,1699,Taft,CA,35.1737,-119.4285
175,1702,Lake Los Angeles,CA,32.7199,-117.1805
176,1715,Canoga Park,CA,34.1974,-118.6016
177,1725,Fullerton,CA,33.8768,-117.8931
178,1728,Fullerton,CA,33.8768,-117.8931
179,1738,Ventura,CA,34.3349,-119.3507
180,1740,Pebble Beach,CA,36.5878,-121.9458
181,1755,Sacramento,CA,38.5819,-121.4935
182,1790,Indian Reservation on way to Barona Casino,CA,32.7199,-117.1805
183,1792,Visalia,CA,36.2947,-119.3813
184,1798,Santa Barbara,CA,34.4191,-119.7034
185,1812,Nicassio,CA,32.7199,-117.1805
186,1826,Huntington Beach,CA,33.7036,-117.9942
187,1835,Salt Point State Park,CA,32.7199,-117.1805
188,1837,Napa,CA,38.5297,-122.2795
189,1843,Bakersfield,CA,35.3879,-119.0236
190,1845,Lake Forest,CA,33.6443,-117.6789
191,1852,Sanra Rosa,CA,32.7199,-117.1805
192,1854,McKinleyville,CA,32.7199,-117.1805
193,1855,Stevenson Ranch,CA,34.3708,-118.6163
194,1863,Santa Rosa,CA,38.4534,-122.7814
195,1867,Petaluma,CA,38.2117,-122.7897
196,1902,Los Angeles,CA,33.9736,-118.2479
197,1906,Los Angeles,CA,33.9736,-118.2479
198,1908,Sherman Oaks,CA,34.1456,-118.4662
199,1923,Anaheim,CA,33.8478,-117.9573
200,1924,Vallejo,CA,38.1386,-122.2529
201,1942,Oceanside,CA,33.1959,-117.3789
202,1943,Los Angeles,CA,33.9736,-118.2479
203,1958,Elk Grove,CA,38.443,-121.2993
204,1966,Santa Maria,CA,34.9287,-120.2276
205,1970,Malibu,CA,34.0399,-118.7077
206,1977,Irvine/Costa Mesa (between),CA,32.7199,-117.1805
207,1995,Chino,CA,33.9539,-117.6477
208,2017,Jenner,CA,38.4951,-123.1741
209,2026,Clovis,CA,36.8261,-119.6789
210,2037,Calexico,CA,32.6879,-115.5123
211,2040,Indio,CA,33.7034,-116.2292
212,2041,Mission Viejo,CA,33.6002,-117.6711
213,2042,Whittier,CA,34.0033,-118.0261
