,cidade,estado,formato,data,hora,dia_semana,dia,mes
245,Warren,MI,Other,8/9/17,00:00,Quarta-feira,9,8
246,Whitesburg,KY,Circle,8/8/17,22:25,Terça-feira,8,8
247,West Valley,UT,Light,8/8/17,22:15,Terça-feira,8,8
248,Belton,MO,Light,8/8/17,22:10,Terça-feira,8,8
249,Portland,OR,Changing,8/8/17,22:00,Terça-feira,8,8
250,Gulf Shores,AL,Disk,8/8/17,21:15,Terça-feira,8,8
251,Sandown,NH,Circle,8/8/17,21:00,Terça-feira,8,8
252,Overland,MO,Light,8/8/17,21:00,Terça-feira,8,8
253,Huntsville,AL,Disk,8/8/17,20:30,Terça-feira,8,8
254,Victorville,CA,Changing,8/8/17,19:30,Terça-feira,8,8
255,Kent,OH,Circle,8/8/17,10:30,Terça-feira,8,8
256,Ellettsville,IN,Cylinder,8/8/17,10:21,Terça-feira,8,8
257,Grosse Pointe Farms,MI,Fireball,8/8/17,04:00,Terça-feira,8,8
258,Chino,CA,Circle,8/8/17,03:00,Terça-feira,8,8
259,Rice Lake,WI,Light,8/7/17,22:15,Segunda-feira,7,8
260,Moorland,IA,Circle,8/7/17,22:03,Segunda-feira,7,8
261,Kapaa,HI,Sphere,8/7/17,20:49,Segunda-feira,7,8
262,Glendale,CA,Disk,8/7/17,13:17,Segunda-feira,7,8
263,Alex,OK,Circle,8/7/17,10:42,Segunda-feira,7,8
264,Nelson,NH,Sphere,8/7/17,09:00,Segunda-feira,7,8
265,Waupun,WI,Changing,8/7/17,05:30,Segunda-feira,7,8
266,Portland,OR,Circle,8/7/17,03:00,Segunda-feira,7,8
267,Linwood,NJ,Light,8/6/17,11:10,Domingo,6,8
268,Hopewell Junction,NY,Circle,8/6/17,08:00,Domingo,6,8
269,Springfield,OR,Light,8/6/17,01:03,Domingo,6,8
270,Springfield,OR,Light,8/6/17,01:03,Domingo,6,8
271,Exton,PA,Light,8/6/17,00:22,Domingo,6,8
272,Crested Butte,CO,Light,8/6/17,00:00,Domingo,6,8
273,Toms River,NJ,Fireball,8/6/17,00:00,Domingo,6,8
274,Hogansville,GA,Fireball,8/5/17,00:00,Sábado,5,8
275,Pierre,SD,Triangle,8/5/17,23:00,Sábado,5,8
276,Leicester,MA,Triangle,8/5/17,23:00,Sábado,5,8
277,Berks County,PA,Light,8/5/17,22:25,Sábado,5,8
278,Louisburg,NC,Circle,8/5/17,22:20,Sábado,5,8
279,West Islip,NY,Circle,8/5/17,21:30,Sábado,5,8
280,Sylmar,CA,Flash,8/5/17,21:15,Sábado,5,8
281,Carrollton,OH,Rectangle,8/5/17,21:15,Sábado,5,8
